Name;Year;ConflictSide;AllStrength;AllLosses;Ratio
Battle of Soor;1745;0;22500;3911;0.1738222222222222222
Battle of Chojnice;1454;0;19000;3300;0.1736842105263157894
Battle of Edgehill;1642;0;11600;2000;0.1724137931034482758
Battle of Otterburn;1388;0;2900;500;0.1724137931034482758
Battle of Wittstock;1636;0;18000;3100;0.1722222222222222222
Battle of Pozzolo;1800;1;50000;8589;0.1717800000000000000
Warsaw Uprising of 1794;1794;0;5500;944;0.1716363636363636363
Battle of Fleurus;1690;0;35000;6000;0.1714285714285714285
Second Battle of Zurich;1799;1;76000;13000;0.1710526315789473684
Siege of Kawagoe Castle;1545;1;85000;14500;0.1705882352941176470
Battle of Glen Shiel;1719;0;850;142;0.1670588235294117647
Battle of Höchstädt;1800;1;30000;5000;0.1666666666666666666
Battle of Byczyna (Pitschen);1588;0;6000;1000;0.1666666666666666666
Battle of Mohács (1687);1687;1;60000;10000;0.1666666666666666666
Battle of Hondschoote;1793;1;24000;4000;0.1666666666666666666
Battle of Inverlochy;1645;0;1500;250;0.1666666666666666666
Battle of Wakefield;1460;1;6000;1000;0.1666666666666666666
Battle of Uddevalla;1677;0;3000;500;0.1666666666666666666
The Night Attack;1462;0;30000;5000;0.1666666666666666666
The Night Attack;1462;1;90000;15000;0.1666666666666666666
Battle of Sainte-Foy;1760;0;5000;833;0.1666000000000000000
Battle of Wimpfen;1622;1;25000;4150;0.1660000000000000000
Battles of Lexington and Concord;1775;1;1500;247;0.1646666666666666666
