413;Crimean Tatars;http://en.wikipedia.org/wiki/Crimean_Tatars
414;Scotland;http://en.wikipedia.org/wiki/Scotland
415;Bavaria;http://en.wikipedia.org/wiki/Bavaria
416;Royalist Irish and Highland Scots;NULL
417;Scots Covenanters;NULL
418; Parliamentarian Scots Covenanters;NULL
419;Pope Urban VIII;http://en.wikipedia.org/wiki/Pope_Urban_VIII
420;House of Farnese;http://en.wikipedia.org/wiki/House_of_Farnese
421;Confederate Ireland;http://en.wikipedia.org/wiki/Confederate_Ireland
422;Highland Scots;NULL
423;Scottish people;http://en.wikipedia.org/wiki/Scottish_people
424;Saxe-Weimar;http://en.wikipedia.org/wiki/Saxe-Weimar
425; Royalists;NULL
426; Covenanters;NULL
427; Scots Covenanters and English and Scottish settlers;NULL
428;English Parliamentarians;NULL
429;Irish Confederate Catholics Munster army and some Highland Scots;NULL
430;New Model Army;http://en.wikipedia.org/wiki/New_Model_Army
431;Engagers;http://en.wikipedia.org/wiki/Engagers
432;English Parliamentarains;NULL
433;Commonwealth of England;http://en.wikipedia.org/wiki/Commonwealth_of_England
434;Zaporozhian Cossacks;http://en.wikipedia.org/wiki/Zaporozhian_Cossacks
435;Margraviate of Brandenburg;http://en.wikipedia.org/wiki/Margraviate_of_Brandenburg
436;Brandenburg-Prussia;http://en.wikipedia.org/wiki/Brandenburg-Prussia
437;Spain;NULL
438;House of Stuart;http://en.wikipedia.org/wiki/House_of_Stuart
439;Denmark–Norway;http://en.wikipedia.org/wiki/Denmark%E2%80%93Norway
440;Polish-Lithuanian Commonwealth;NULL
441;Koxinga;http://en.wikipedia.org/wiki/Koxinga
442;Dutch East India Company;http://en.wikipedia.org/wiki/Dutch_East_India_Company
443;League of the Rhine;http://en.wikipedia.org/wiki/League_of_the_Rhine
444;Dutch Republic;NULL
445;Ahom kingdom;http://en.wikipedia.org/wiki/Ahom_kingdom
